代码	名称	涨幅%%	换手%%	细分行业	股东人数	人均持股	流通股本	总股本(万)	现价	上市日期	今开	最高	最低	昨收	市盈(动)	总金额	量比	未分利润	地区	总量	振幅%%	均价	内盘	外盘	内外比	
000036	华联控股	-10.10	          1.29	房地产开发	120060.00	          9361	     112388.77	     112388.77	2.67	19940617	2.97	2.99	2.67	2.97	   731.83	39702232	  3.35	41585.95	深圳	144678	10.77	2.74	83137	61541	  1.35	
002122	天马股份	-10.09	          1.68	通用机械	90543.00	         11651	     105489.92	     118800.00	3.83	20070328	4.21	4.29	3.83	4.26	   113.09	70234304	  2.27	238214.09	浙江	177216	10.80	3.96	116947	60269	  1.94	
600145	国创能源	-10.09	          2.02	煤炭开采	26581.00	         14209	      37768.50	      37768.50	3.83	19990923	4.26	4.26	3.83	4.26	   603.22	30112636	  2.49	-28807.98	贵州	76442	10.09	3.94	45202	31240	  1.45	
600217	秦岭水泥	-10.08	          1.65	建筑材料	78979.00	          8367	      66080.00	      66080.00	4.28	19991216	4.81	4.81	4.28	4.76	--  	48658916	  1.24	-89577.61	陕西	109123	11.13	4.46	63175	45948	  1.37	
002084	海鸥卫浴	-10.08	          1.70	家用轻工	29002.00	         10865	      31511.01	      40605.57	4.37	20061124	4.83	4.83	4.37	4.86	   163.99	24328558	  1.13	28029.51	广东	53477	 9.47	4.55	33695	19782	  1.70	
600800	天津磁卡	-10.07	          2.23	其他电子	72598.00	          8370	      60767.48	      61127.10	4.91	19931206	5.39	5.44	4.91	5.46	   164.67	68941992	  1.46	-70731.71	天津	135331	 9.71	5.09	85008	50323	  1.69	
000502	绿景控股	-10.07	          2.46	房地产开发	27767.00	          6602	      18332.91	      18481.96	5.00	19921123	5.52	5.52	5.00	5.56	--  	23168006	  2.50	-2321.80	广东	45079	 9.35	5.14	28238	16841	  1.68	
600620	天宸股份	-10.07	          2.90	房地产开发	37773.00	         12119	      45778.46	      45778.46	5.45	19921117	6.09	6.09	5.45	6.06	     4.20	76036728	  1.15	30754.98	上海	132781	10.56	5.73	77885	54896	  1.42	
000868	安凯客车	-10.06	          2.62	汽车整车	54604.00	         11422	      62369.58	      70342.00	4.29	19970725	4.75	4.75	4.29	4.77	   121.42	72391776	  0.83	17714.54	安徽	163294	 9.64	4.43	97558	65736	  1.48	
000979	中弘股份	-10.06	          0.77	房地产开发	31099.00	         32544	     101208.13	     101209.25	5.90	20000616	6.53	6.53	5.90	6.56	     8.22	47653368	  1.17	190509.63	安徽	77947	 9.60	6.11	45926	32021	  1.43	
600325	华发股份	-10.06	          2.20	房地产开发	64034.00	         12760	      81704.56	      81704.56	5.99	20040225	6.66	6.68	5.99	6.66	    14.12	111149736	  3.41	337533.19	广东	179930	10.36	6.18	99949	79981	  1.25	
600157	永泰能源	-10.06	          5.36	煤炭开采	50507.00	         28391	     143394.75	     176755.95	6.08	19980513	6.72	6.73	6.08	6.76	    12.13	480225600	  1.72	151911.52	山西	768091	 9.62	6.25	392705	375386	  1.05	
000537	广宇发展	-10.05	          1.46	房地产开发	57853.00	          8862	      51271.19	      51271.76	5.10	19931210	5.67	5.67	5.10	5.67	    48.58	39751152	  2.11	51916.15	天津	74848	10.05	5.31	46893	27955	  1.68	
600515	海岛建设	-10.05	          3.30	零售	32730.00	          9030	      29556.00	      42277.41	6.98	20020806	7.75	7.75	6.98	7.76	   697.63	70854248	  0.82	-31885.55	海南	97534	 9.92	7.26	54076	43458	  1.24	
